source,rank,x1,y1,x2,y2,length,angle_degrees
cnn_or_selected_backend,151,262.0,978.0,387.0,1031.0,135.77186748365804,22.97694450318875
cnn_or_selected_backend,152,678.0,823.0,774.0,727.0,135.7645019878171,135.0
cnn_or_selected_backend,153,729.0,1220.0,864.0,1234.0,135.72398461583714,5.920620714046804
cnn_or_selected_backend,154,390.0,981.0,524.0,961.0,135.4843164355196,171.5110561194953
cnn_or_selected_backend,155,138.0,565.0,143.0,700.0,135.09256086106296,87.87890360333854
cnn_or_selected_backend,156,799.0,1235.0,934.0,1232.0,135.03332921912278,178.72696997994328
cnn_or_selected_backend,157,966.0,1131.0,1032.0,1014.0,134.33167906342868,119.42745640318974
cnn_or_selected_backend,158,478.0,871.0,612.0,873.0,134.01492454200763,0.8550973962667232
cnn_or_selected_backend,159,430.0,951.0,562.0,930.0,133.6600164596728,170.96051719664487
cnn_or_selected_backend,160,845.0,893.0,976.0,919.0,133.55523202031435,11.225797762814395
cnn_or_selected_backend,161,971.0,924.0,1104.0,914.0,133.37541002748594,175.70013717980794
cnn_or_selected_backend,162,838.0,1250.0,971.0,1244.0,133.13526955694348,177.41697933136496
cnn_or_selected_backend,163,431.0,756.0,435.0,623.0,133.06013678032951,91.72266207162279
cnn_or_selected_backend,164,589.0,765.0,680.0,668.0,133.00375934536586,133.172031755695
cnn_or_selected_backend,165,1058.0,1.0,1058.0,134.0,133.0,90.0
cnn_or_selected_backend,166,697.0,1168.0,800.0,1252.0,132.90974381135493,39.198413112353
cnn_or_selected_backend,167,508.0,971.0,571.0,855.0,132.00378782444085,118.50653756799237
cnn_or_selected_backend,168,356.0,1006.0,420.0,1121.0,131.60927019021113,60.903111200471976
cnn_or_selected_backend,169,978.0,922.0,1032.0,1042.0,131.59027319676784,65.77225468204583
cnn_or_selected_backend,170,734.0,760.0,821.0,858.0,131.04579352272242,48.402769771061756
cnn_or_selected_backend,171,597.0,801.0,600.0,670.0,131.03434664239754,91.31188778250412
cnn_or_selected_backend,172,440.0,542.0,441.0,412.0,130.00384609695206,90.44072807276102
cnn_or_selected_backend,173,1103.0,1025.0,1104.0,896.0,129.00387591076478,90.44414443311193
cnn_or_selected_backend,174,203.0,1013.0,331.0,998.0,128.87590930814028,173.31613589196587
